sample_identifier_short,physical_sample_id,sample_identifier,latitude_dd,longitude_dd,sampling_context,Age_BP_From,Age_BP_To,region
COUN000356|1622,1622,West Bromwich|COUN000356|D|1622,52.514168,-1.9763889,Stratigraphic sequence,13284,12588,Nor
COUN000356|1623,1623,West Bromwich|COUN000356|E|1623,52.514168,-1.9763889,Stratigraphic sequence,12577,11953,Nor
COUN000356|1624,1624,West Bromwich|COUN000356|F|1624,52.514168,-1.9763889,Stratigraphic sequence,11963,11266,Nor
COUN000356|1625,1625,West Bromwich|COUN000356|G|1625,52.514168,-1.9763889,Stratigraphic sequence,11662,11118,Nor
COUN000356|1626,1626,West Bromwich|COUN000356|H|1626,52.514168,-1.9763889,Stratigraphic sequence,11386,10963,Nor
COUN000356|1627,1627,West Bromwich|COUN000356|I|1627,52.514168,-1.9763889,Stratigraphic sequence,11134,10771,Nor
COUN000356|1628,1628,West Bromwich|COUN000356|J|1628,52.514168,-1.9763889,Stratigraphic sequence,10955,10544,Nor
COUN000356|1629,1629,West Bromwich|COUN000356|K|1629,52.514168,-1.9763889,Stratigraphic sequence,10971,10556,Nor
COUN000356|1630,1630,West Bromwich|COUN000356|L|1630,52.514168,-1.9763889,Stratigraphic sequence,11085,10427,Nor
COUN000357|1633,1633,West Drayton|COUN000357|S1|1633,51.5,-0.47416666,Stratigraphic sequence,13307,12808,Nor
COUN000360|1646,1646,Wilden|COUN000360|R2_35|1646,52.336666,-2.2802777,Stratigraphic sequence,15556,14076,Nor
COUN000360|1652,1652,Wilden|COUN000360|O_X|1652,52.336666,-2.2802777,Stratigraphic sequence,12144,10589,Nor
COUN000360|1654,1654,Wilden|COUN000360|O_Ytop|1654,52.336666,-2.2802777,Stratigraphic sequence,12370,10742,Nor
COUN000360|1657,1657,Wilden|COUN000360|O_Ybott|1657,52.336666,-2.2802777,Stratigraphic sequence,13298,12693,Nor
COUN000360|1658,1658,Wilden|COUN000360|Z|1658,52.336666,-2.2802777,Stratigraphic sequence,13715,12436,Nor
COUN000376|1703,1703,Yoxall Bridge|COUN000376|S1|1703,52.75778,-1.8072222,Stratigraphic sequence,3031,2760,Nor
COUN000390|1727,1727,Bidford on Avon: Pilgrim Lock|COUN000390|S12|1727,52.15,-1.85,Stratigraphic sequence,3327,2789,Nor
COUN000390|1729,1729,Bidford on Avon: Pilgrim Lock|COUN000390|S14|1729,52.15,-1.85,Stratigraphic sequence,3323,2782,Nor
COUN000390|1732,1732,Bidford on Avon: Pilgrim Lock|COUN000390|S17|1732,52.15,-1.85,Stratigraphic sequence,3446,2882,Nor
COUN000397|1908,1908,Tiln|COUN000397|S|1908,53.345554,-0.9575,Stratigraphic sequence,13291,12972,Nor
COUN000400|1911,1911,Church Stretton Site CS1 and CS2|COUN000400|CS1_A|1911,52.541668,-2.8022223,Stratigraphic sequence,13970,13354,Nor
COUN000400|1912,1912,Church Stretton Site CS1 and CS2|COUN000400|CS1_B|1912,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1913,1913,Church Stretton Site CS1 and CS2|COUN000400|CS1_C|1913,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1914,1914,Church Stretton Site CS1 and CS2|COUN000400|CS1_D|1914,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1915,1915,Church Stretton Site CS1 and CS2|COUN000400|CS1_E|1915,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1916,1916,Church Stretton Site CS1 and CS2|COUN000400|CS1_F|1916,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1917,1917,Church Stretton Site CS1 and CS2|COUN000400|CS1_G|1917,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1918,1918,Church Stretton Site CS1 and CS2|COUN000400|CS1_H|1918,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1919,1919,Church Stretton Site CS1 and CS2|COUN000400|CS1_I|1919,52.541668,-2.8022223,Stratigraphic sequence,12500,10500,Nor
COUN000400|1922,1922,Church Stretton Site CS1 and CS2|COUN000400|CS2_1|1922,52.541668,-2.8022223,Stratigraphic sequence,12500,11500,Nor
COUN000400|1923,1923,Church Stretton Site CS1 and CS2|COUN000400|CS2_2|1923,52.541668,-2.8022223,Stratigraphic sequence,13262,12592,Nor
COUN000400|1924,1924,Church Stretton Site CS1 and CS2|COUN000400|CS2_3|1924,52.541668,-2.8022223,Stratigraphic sequence,12500,11500,Nor
COUN000400|1925,1925,Church Stretton Site CS1 and CS2|COUN000400|CS2_4|1925,52.541668,-2.8022223,Stratigraphic sequence,12500,11500,Nor
COUN000400|1926,1926,Church Stretton Site CS1 and CS2|COUN000400|CS2_5|1926,52.541668,-2.8022223,Stratigraphic sequence,12500,11500,Nor
COUN000400|1927,1927,Church Stretton Site CS1 and CS2|COUN000400|CS2_6|1927,52.541668,-2.8022223,Stratigraphic sequence,12500,11500,Nor
COUN000400|1928,1928,Church Stretton Site CS1 and CS2|COUN000400|CS2_7|1928,52.541668,-2.8022223,Stratigraphic sequence,12500,11500,Nor
COUN000400|1929,1929,Church Stretton Site CS1 and CS2|COUN000400|CS2_8|1929,52.541668,-2.8022223,Stratigraphic sequence,12500,11500,Nor
COUN000400|1930,1930,Church Stretton Site CS1 and CS2|COUN000400|CS2_9|1930,52.541668,-2.8022223,Stratigraphic sequence,12500,11500,Nor
COUN000400|1931,1931,Church Stretton Site CS1 and CS2|COUN000400|CS2_10|1931,52.541668,-2.8022223,Stratigraphic sequence,12500,11500,Nor
COUN000400|1932,1932,Church Stretton Site CS1 and CS2|COUN000400|CS2_11|1932,52.541668,-2.8022223,Stratigraphic sequence,12500,11500,Nor
COUN000400|1934,1934,Church Stretton Site CS1 and CS2|COUN000400|CS2_13|1934,52.541668,-2.8022223,Stratigraphic sequence,12500,11500,Nor
COUN000400|1936,1936,Church Stretton Site CS1 and CS2|COUN000400|BS|1936,52.541668,-2.8022223,Stratigraphic sequence,12500,11500,Nor
COUN000411|1939,1939,Llanilid|COUN000411|A|1939,51.525276,-3.523611,Stratigraphic sequence,13049,12704,Nor
COUN000411|1942,1942,Llanilid|COUN000411|D|1942,51.525276,-3.523611,Stratigraphic sequence,15073,13271,Nor
COUN000411|1943,1943,Llanilid|COUN000411|E|1943,51.525276,-3.523611,Stratigraphic sequence,13730,13113,Nor
COUN000411|1945,1945,Llanilid|COUN000411|G|1945,51.525276,-3.523611,Stratigraphic sequence,13309,13011,Nor
COUN000411|1946,1946,Llanilid|COUN000411|H|1946,51.525276,-3.523611,Stratigraphic sequence,13422,13084,Nor
COUN000411|1947,1947,Llanilid|COUN000411|I|1947,51.525276,-3.523611,Stratigraphic sequence,13403,12827,Nor
COUN000411|1948,1948,Llanilid|COUN000411|J|1948,51.525276,-3.523611,Stratigraphic sequence,13212,12819,Nor
COUN000411|1949,1949,Llanilid|COUN000411|K|1949,51.525276,-3.523611,Stratigraphic sequence,13314,12743,Nor
COUN000411|1950,1950,Llanilid|COUN000411|L|1950,51.525276,-3.523611,Stratigraphic sequence,12711,12251,Nor
COUN000411|1951,1951,Llanilid|COUN000411|M|1951,51.525276,-3.523611,Stratigraphic sequence,13287,12685,Nor
COUN000411|1952,1952,Llanilid|COUN000411|N|1952,51.525276,-3.523611,Stratigraphic sequence,13036,12426,Nor
COUN000411|1953,1953,Llanilid|COUN000411|O|1953,51.525276,-3.523611,Stratigraphic sequence,13457,12764,Nor
COUN000411|1954,1954,Llanilid|COUN000411|P|1954,51.525276,-3.523611,Stratigraphic sequence,13437,13104,Nor
COUN000411|1955,1955,Llanilid|COUN000411|Q|1955,51.525276,-3.523611,Stratigraphic sequence,13740,13076,Nor
COUN000411|1956,1956,Llanilid|COUN000411|Base_of_Clay|1956,51.525276,-3.523611,Stratigraphic sequence,13142,12781,Nor
COUN000411|1957,1957,Llanilid|COUN000411|S|1957,51.525276,-3.523611,Stratigraphic sequence,13314,13050,Nor
COUN000411|1958,1958,Llanilid|COUN000411|T|1958,51.525276,-3.523611,Stratigraphic sequence,13105,12779,Nor
COUN000411|1961,1961,Llanilid|COUN000411|W|1961,51.525276,-3.523611,Stratigraphic sequence,11612,10405,Nor
COUN000418|1970,1970,Holywell Coombe|COUN000418|Z2/9|1970,51.0975,1.1691667,Stratigraphic sequence,13710,13085,Nor
COUN000427|2026,2026,Holme Fen|COUN000427|S1|2026,52.4667,-0.2333,Stratigraphic sequence,7000,5000,Nor
COUN000436|2047,2047,Drumurcher|COUN000436|P5/5|2047,54.101185,-7.20348,Stratigraphic sequence,12749,11762,Nor
COUN000439|2059,2059,Skalafjordur|COUN000439|92_5-95cm|2059,62.15,-6.7633333,Stratigraphic sequence,10000,8420,Nor
COUN000447|2101,2101,Sproughton|COUN000447|S1|2101,52.059723,-1.1086111,Stratigraphic sequence,14275,13216,Nor
COUN000448|2109,2109,Abingdon|COUN000448|S19-24cm|2109,51.669876,-1.2486,Stratigraphic sequence,16415,15347,Nor
COUN000449|2123,2123,Abbots Way|COUN000449|S1|2123,51.183,-2.8275917,Stratigraphic sequence,1989,1827,Nor
COUN000449|2124,2124,Abbots Way|COUN000449|S2|2124,51.183,-2.8275917,Stratigraphic sequence,2128,1974,Nor
COUN000449|2125,2125,Abbots Way|COUN000449|S3|2125,51.183,-2.8275917,Stratigraphic sequence,2269,2119,Nor
COUN000449|2126,2126,Abbots Way|COUN000449|S4|2126,51.183,-2.8275917,Stratigraphic sequence,2410,2265,Nor
COUN000449|2127,2127,Abbots Way|COUN000449|S5|2127,51.183,-2.8275917,Stratigraphic sequence,2552,2410,Nor
COUN000449|2128,2128,Abbots Way|COUN000449|S6|2128,51.183,-2.8275917,Stratigraphic sequence,2698,2551,Nor
COUN000449|2129,2129,Abbots Way|COUN000449|S7|2129,51.183,-2.8275917,Stratigraphic sequence,2847,2691,Nor
COUN000449|2130,2130,Abbots Way|COUN000449|S8|2130,51.183,-2.8275917,Stratigraphic sequence,2999,2833,Nor
COUN000449|2131,2131,Abbots Way|COUN000449|S9|2131,51.183,-2.8275917,Stratigraphic sequence,3151,2963,Nor
COUN000449|2132,2132,Abbots Way|COUN000449|S10|2132,51.183,-2.8275917,Stratigraphic sequence,3303,3098,Nor
COUN000449|2133,2133,Abbots Way|COUN000449|S11|2133,51.183,-2.8275917,Stratigraphic sequence,3455,3229,Nor
COUN000449|2134,2134,Abbots Way|COUN000449|S12|2134,51.183,-2.8275917,Stratigraphic sequence,3606,3368,Nor
COUN000449|2135,2135,Abbots Way|COUN000449|S13|2135,51.183,-2.8275917,Stratigraphic sequence,3759,3501,Nor
COUN000449|2136,2136,Abbots Way|COUN000449|S14|2136,51.183,-2.8275917,Stratigraphic sequence,3911,3633,Nor
COUN000449|2137,2137,Abbots Way|COUN000449|S15|2137,51.183,-2.8275917,Stratigraphic sequence,4065,3769,Nor
COUN000449|2138,2138,Abbots Way|COUN000449|S16|2138,51.183,-2.8275917,Stratigraphic sequence,4100,3808,Nor
COUN000449|2139,2139,Abbots Way|COUN000449|S17|2139,51.183,-2.8275917,Stratigraphic sequence,4135,3847,Nor
COUN000449|2140,2140,Abbots Way|COUN000449|S18|2140,51.183,-2.8275917,Stratigraphic sequence,4168,3890,Nor
COUN000449|2141,2141,Abbots Way|COUN000449|S19|2141,51.183,-2.8275917,Stratigraphic sequence,4203,3931,Nor
COUN000449|2142,2142,Abbots Way|COUN000449|S20|2142,51.183,-2.8275917,Stratigraphic sequence,4237,3971,Nor
COUN000449|2143,2143,Abbots Way|COUN000449|S21|2143,51.183,-2.8275917,Stratigraphic sequence,4273,4010,Nor
COUN000449|2144,2144,Abbots Way|COUN000449|S22|2144,51.183,-2.8275917,Stratigraphic sequence,4308,4051,Nor
COUN000449|2145,2145,Abbots Way|COUN000449|S23|2145,51.183,-2.8275917,Stratigraphic sequence,4342,4096,Nor
COUN000449|2146,2146,Abbots Way|COUN000449|S24|2146,51.183,-2.8275917,Stratigraphic sequence,4378,4138,Nor
COUN000449|2147,2147,Abbots Way|COUN000449|S25|2147,51.183,-2.8275917,Stratigraphic sequence,4412,4182,Nor
COUN000449|2148,2148,Abbots Way|COUN000449|S26|2148,51.183,-2.8275917,Stratigraphic sequence,4449,4223,Nor
COUN000449|2149,2149,Abbots Way|COUN000449|S27|2149,51.183,-2.8275917,Stratigraphic sequence,4485,4264,Nor
COUN000449|2150,2150,Abbots Way|COUN000449|S28|2150,51.183,-2.8275917,Stratigraphic sequence,4519,4305,Nor
COUN000449|2151,2151,Abbots Way|COUN000449|S29|2151,51.183,-2.8275917,Stratigraphic sequence,4553,4347,Nor
COUN000449|2152,2152,Abbots Way|COUN000449|S30|2152,51.183,-2.8275917,Stratigraphic sequence,4587,4386,Nor
COUN000449|2153,2153,Abbots Way|COUN000449|S31|2153,51.183,-2.8275917,Stratigraphic sequence,4625,4423,Nor
COUN000449|2154,2154,Abbots Way|COUN000449|S32|2154,51.183,-2.8275917,Stratigraphic sequence,4660,4461,Nor
COUN000449|2155,2155,Abbots Way|COUN000449|S33|2155,51.183,-2.8275917,Stratigraphic sequence,4695,4501,Nor
COUN000449|2156,2156,Abbots Way|COUN000449|S34|2156,51.183,-2.8275917,Stratigraphic sequence,4732,4539,Nor
COUN000449|2157,2157,Abbots Way|COUN000449|S35|2157,51.183,-2.8275917,Stratigraphic sequence,4768,4575,Nor
COUN000449|2158,2158,Abbots Way|COUN000449|S36|2158,51.183,-2.8275917,Stratigraphic sequence,4806,4612,Nor
COUN000449|2159,2159,Abbots Way|COUN000449|S37|2159,51.183,-2.8275917,Stratigraphic sequence,4842,4648,Nor
COUN000449|2160,2160,Abbots Way|COUN000449|S38|2160,51.183,-2.8275917,Stratigraphic sequence,4881,4684,Nor
COUN000449|2161,2161,Abbots Way|COUN000449|S39|2161,51.183,-2.8275917,Stratigraphic sequence,4919,4721,Nor
COUN000449|2162,2162,Abbots Way|COUN000449|S40|2162,51.183,-2.8275917,Stratigraphic sequence,4958,4756,Nor
COUN000449|2163,2163,Abbots Way|COUN000449|S41|2163,51.183,-2.8275917,Stratigraphic sequence,4997,4791,Nor
COUN000449|2164,2164,Abbots Way|COUN000449|S42|2164,51.183,-2.8275917,Stratigraphic sequence,5037,4825,Nor
COUN000449|2165,2165,Abbots Way|COUN000449|S43|2165,51.183,-2.8275917,Stratigraphic sequence,5077,4859,Nor
COUN000449|2166,2166,Abbots Way|COUN000449|S44|2166,51.183,-2.8275917,Stratigraphic sequence,5116,4893,Nor
COUN000449|2167,2167,Abbots Way|COUN000449|S45|2167,51.183,-2.8275917,Stratigraphic sequence,5154,4928,Nor
COUN000449|2168,2168,Abbots Way|COUN000449|S46|2168,51.183,-2.8275917,Stratigraphic sequence,5194,4961,Nor
COUN000449|2169,2169,Abbots Way|COUN000449|S47|2169,51.183,-2.8275917,Stratigraphic sequence,5235,4997,Nor
COUN000449|2170,2170,Abbots Way|COUN000449|S48|2170,51.183,-2.8275917,Stratigraphic sequence,5273,5032,Nor
COUN000449|2171,2171,Abbots Way|COUN000449|S49|2171,51.183,-2.8275917,Stratigraphic sequence,5312,5068,Nor
COUN000449|2172,2172,Abbots Way|COUN000449|S50|2172,51.183,-2.8275917,Stratigraphic sequence,5352,5103,Nor
COUN000449|2173,2173,Abbots Way|COUN000449|S51|2173,51.183,-2.8275917,Stratigraphic sequence,5393,5137,Nor
COUN000449|2174,2174,Abbots Way|COUN000449|S52|2174,51.183,-2.8275917,Stratigraphic sequence,5433,5172,Nor
COUN000449|2175,2175,Abbots Way|COUN000449|S53|2175,51.183,-2.8275917,Stratigraphic sequence,5474,5206,Nor
COUN000449|2176,2176,Abbots Way|COUN000449|S54|2176,51.183,-2.8275917,Stratigraphic sequence,5516,5241,Nor
COUN000449|2177,2177,Abbots Way|COUN000449|S55|2177,51.183,-2.8275917,Stratigraphic sequence,5556,5274,Nor
COUN000449|2178,2178,Abbots Way|COUN000449|S56|2178,51.183,-2.8275917,Stratigraphic sequence,5598,5308,Nor
COUN000449|2179,2179,Abbots Way|COUN000449|S57|2179,51.183,-2.8275917,Stratigraphic sequence,5638,5343,Nor
COUN000464|2241,2241,Brigg|COUN000464|S0-5cm|2241,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2242,2242,Brigg|COUN000464|S5-10cm|2242,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2243,2243,Brigg|COUN000464|S10-15cm|2243,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2244,2244,Brigg|COUN000464|S15-20cm|2244,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2245,2245,Brigg|COUN000464|S20-25cm|2245,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2246,2246,Brigg|COUN000464|S25-30cm|2246,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2247,2247,Brigg|COUN000464|S30-35cm|2247,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2249,2249,Brigg|COUN000464|S40-45cm|2249,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2250,2250,Brigg|COUN000464|S45-50cm|2250,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2252,2252,Brigg|COUN000464|S55-60cm|2252,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2255,2255,Brigg|COUN000464|S70-75cm|2255,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2256,2256,Brigg|COUN000464|S75-80cm|2256,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2257,2257,Brigg|COUN000464|S80-85cm|2257,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2258,2258,Brigg|COUN000464|S85-90cm|2258,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2260,2260,Brigg|COUN000464|S95-100cm|2260,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2261,2261,Brigg|COUN000464|S100-105cm|2261,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2263,2263,Brigg|COUN000464|S110-115cm|2263,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000464|2264,2264,Brigg|COUN000464|S115-120cm|2264,53.555557,-0.5011111,Stratigraphic sequence,4449,2549,Nor
COUN000489|2423,2423,Corlea|COUN000489|C1i|2423,53.614933,-7.8564367,Stratigraphic sequence,5529,5529,Nor
COUN000490|2424,2424,Derryville Bog|COUN000490|Derryfada_23|2424,52.745773,-7.665305,Stratigraphic sequence,3549,3549,Nor
COUN000490|4798,4798,Derryville Bog|COUN000490|Killoran_75|4798,52.745773,-7.665305,Stratigraphic sequence,2599,1900,Nor
COUN000490|4799,4799,Derryville Bog|COUN000490|Killoran_240|4799,52.745773,-7.665305,Stratigraphic sequence,4449,2549,Nor
COUN000490|4800,4800,Derryville Bog|COUN000490|Killoran_314|4800,52.745773,-7.665305,Stratigraphic sequence,2324,2319,Nor
COUN000546|2607,2607,Conty|COUN000546|P5|2607,49.74139,2.1525,Stratigraphic sequence,14936,13932,Nor
COUN000546|2612,2612,Conty|COUN000546|T1|2612,49.74139,2.1525,Stratigraphic sequence,13952,12793,Nor
COUN000546|2613,2613,Conty|COUN000546|T2|2613,49.74139,2.1525,Stratigraphic sequence,13128,12764,Nor
COUN000546|2614,2614,Conty|COUN000546|P8|2614,49.74139,2.1525,Stratigraphic sequence,13500,12573,Nor
COUN000548|2617,2617,Houdancourt|COUN000548|s6|2617,49.32611,2.663889,Stratigraphic sequence,14197,13615,Nor
COUN000548|2620,2620,Houdancourt|COUN000548|s3|2620,49.32611,2.663889,Stratigraphic sequence,13716,13263,Nor
COUN000548|2621,2621,Houdancourt|COUN000548|s2|2621,49.32611,2.663889,Stratigraphic sequence,13305,12935,Nor
COUN000556|2665,2665,Gransmoor|COUN000556|S120|2665,54.02139,-0.30277777,Stratigraphic sequence,15238,13439,Nor
COUN000556|2668,2668,Gransmoor|COUN000556|S135|2668,54.02139,-0.30277777,Stratigraphic sequence,14031,13278,Nor
COUN000601|2793,2793,Difford's 1 site|COUN000601|s1|2793,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2794,2794,Difford's 1 site|COUN000601|s2|2794,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2795,2795,Difford's 1 site|COUN000601|s3|2795,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2796,2796,Difford's 1 site|COUN000601|s4|2796,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2797,2797,Difford's 1 site|COUN000601|s5|2797,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2798,2798,Difford's 1 site|COUN000601|s6|2798,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2799,2799,Difford's 1 site|COUN000601|s7|2799,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2800,2800,Difford's 1 site|COUN000601|s8|2800,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2801,2801,Difford's 1 site|COUN000601|s9|2801,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2802,2802,Difford's 1 site|COUN000601|s10|2802,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2803,2803,Difford's 1 site|COUN000601|s11|2803,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2804,2804,Difford's 1 site|COUN000601|s12|2804,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2805,2805,Difford's 1 site|COUN000601|s13|2805,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2806,2806,Difford's 1 site|COUN000601|s14|2806,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2807,2807,Difford's 1 site|COUN000601|s15|2807,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000601|2808,2808,Difford's 1 site|COUN000601|s16|2808,51.162777,-2.7894444,Stratigraphic sequence,2599,1900,Nor
COUN000625|2875,2875,Hull: Sewer Lane|COUN000625|BugsPresence|2875,53.746113,-0.3638889,Stratigraphic sequence,1550,400,Nor
COUN000642|2925,2925,Nørre Lyngby|COUN000642|A1|2925,57.4167,9.75,Stratigraphic sequence,13597,13155,Nor
COUN000642|2926,2926,Nørre Lyngby|COUN000642|A2|2926,57.4167,9.75,Stratigraphic sequence,13597,13155,Nor
COUN000642|2927,2927,Nørre Lyngby|COUN000642|B|2927,57.4167,9.75,Stratigraphic sequence,13597,13155,Nor
COUN000642|2928,2928,Nørre Lyngby|COUN000642|C|2928,57.4167,9.75,Stratigraphic sequence,13597,13155,Nor
COUN000642|2929,2929,Nørre Lyngby|COUN000642|s1|2929,57.4167,9.75,Stratigraphic sequence,13597,13155,Nor
COUN000642|2930,2930,Nørre Lyngby|COUN000642|s2|2930,57.4167,9.75,Stratigraphic sequence,13597,13155,Nor
COUN000642|2931,2931,Nørre Lyngby|COUN000642|s3|2931,57.4167,9.75,Stratigraphic sequence,13597,13155,Nor
COUN000642|2932,2932,Nørre Lyngby|COUN000642|s4|2932,57.4167,9.75,Stratigraphic sequence,13597,13155,Nor
COUN000642|2933,2933,Nørre Lyngby|COUN000642|s5|2933,57.4167,9.75,Stratigraphic sequence,13597,13155,Nor
COUN000642|2934,2934,Nørre Lyngby|COUN000642|s6|2934,57.4167,9.75,Stratigraphic sequence,13597,13155,Nor
